id,name,name_en,type,source_files,rationale_examples,confidence
4361,DNA测序仪,DNA Sequencer,device_template_tag,tag 标签列表.csv,,high
4366,低温/冷冻离心机,Refrigerated Centrifuge,device_template_tag,tag 标签列表.csv,,high
4367,低温冰箱,Low-Temperature Freezer,device_template_tag,tag 标签列表.csv,,high
P-9805,双束聚焦离子束扫描电子显微镜,DualBeam FIB-SEM Microscope,device_template_tag,tag_additions_proposed.csv,该设备并非普通SEM，而是集成聚焦离子束铣削与电子束成像的双束平台，适合更精确的模板标注。,high
P-10005,多维显微图像数据源,Multidimensional Microscopy Image Data Source,device_template_tag,tag_additions_proposed.csv,该对象专门面向XYCZT显微图像及体素元数据的读写与访问，适合作为通用图像数据源模板。,high
4383,实时定量PCR仪,Real-Time Quantitative PCR,device_template_tag,tag 标签列表.csv,,high
P-9901,微孔板成像读板仪,Microplate Reader Imager,device_template_tag,tag_additions_proposed.csv,该设备同时整合微孔板读板与显微成像功能，现有模板不足以完整覆盖其一体化特征。,high
4387,微生物培养箱,Microbial Incubator,device_template_tag,tag 标签列表.csv,,high
4389,恒温摇床,Constant Temperature Shaker,device_template_tag,tag 标签列表.csv,,high
P-0007,显微镜自动化控制器,Microscope Automation Controller,device_template_tag,tag_additions_proposed.csv,该设备本质上是显微镜系统控制器，用于统一控制滤轮和附件，符合显微镜自动化控制器模板。 || 该设备族通过统一链路管理位移台、滤轮和光源，是典型的显微镜自动化控制系统。 || 设备是典型的显微镜多轴控制器，可统一管理载物台、调焦轴与部分光源。,high
4399,普通PCR仪,Thermal Cycler,device_template_tag,tag 标签列表.csv,,high
4405,核酸合成仪,Nucleic Acid Synthesizer,device_template_tag,tag 标签列表.csv,,high
4406,核酸纯化仪,Nucleic Acid Purification System,device_template_tag,tag 标签列表.csv,,high
4416,流式细胞仪,Flow Cytometer,device_template_tag,tag 标签列表.csv,,high
4419,深低温冰箱,Ultra-Low Temperature Freezer,device_template_tag,tag 标签列表.csv,,high
4421,热混匀仪,Thermomixer,device_template_tag,tag 标签列表.csv,,high
4423,生物分子相互作用分析仪,Biomolecular Interaction Analyzer,device_template_tag,tag 标签列表.csv,,high
4429,电穿孔仪（电转化仪）,Electroporator,device_template_tag,tag 标签列表.csv,,high
4431,真空离心浓缩仪,Vacuum Centrifugal Concentrator,device_template_tag,tag 标签列表.csv,,high
4434,离心机,Centrifuge,device_template_tag,tag 标签列表.csv,,high
4442,组织培养试验箱,Tissue Culture Chamber,device_template_tag,tag 标签列表.csv,,high
4443,组织破碎机,Tissue Homogenizer,device_template_tag,tag 标签列表.csv,,high
4444,细胞分析仪,Cell Analyzer,device_template_tag,tag 标签列表.csv,,high
4445,细胞融合仪,Cell Fusion System,device_template_tag,tag 标签列表.csv,,high
4457,酶标仪,Microplate Reader,device_template_tag,tag 标签列表.csv,,high
4459,高低温金属浴,High/Low Temperature Metal Bath,device_template_tag,tag 标签列表.csv,,high
4460,高内涵细胞成像分析系统,High Content Cell Imaging Analysis System,device_template_tag,tag 标签列表.csv,,high
4318,生命体系,Life Sciences,experimental_domain,tag 标签列表.csv,,high
4328,DNA文库构建测序与蛋白设计,"DNA Library Construction, Sequencing & Protein Design",experimental_scene,tag 标签列表.csv,,high
4327,基因编辑、分子生物学与育种,"Gene Editing, Molecular Biology & Breeding",experimental_scene,tag 标签列表.csv,,high
4340,小分子药物和PROTAC药物,Small Molecule & PROTAC Drugs,experimental_scene,tag 标签列表.csv,,high
P-990904,微孔板封膜与样品保护,Microplate Sealing & Sample Protection,experimental_scene,tag_additions_proposed.csv,该设备的核心任务就是对微孔板进行热封和样品保护，值得独立场景标签。 || 该后端接口专用于微孔板封膜流程控制，服务于板式样品保护场景。,high
P-900102,微孔板揭膜与开板,Microplate De-sealing & Plate Opening,experimental_scene,tag_additions_proposed.csv,该设备专门用于自动揭除微孔板封膜，为后续移液、读板或分析开板。,high
P-40003,微孔板样品孵育与混匀,Microplate Sample Incubation & Mixing,experimental_scene,tag_additions_proposed.csv,该设备专门面向微孔板加热孵育、振荡混匀和板上反应处理。 || 其控制对象是用于微孔板孵育和混匀的加热振荡单元。,high
P-5001,微孔板样品孵育与混匀,Microplate Sample Incubation & Mixing,experimental_scene,tag_additions_proposed.csv,该设备专门用于板式样品的恒温孵育和持续摇匀，现有场景标签覆盖不足。 || 该设备专用于微孔板样品的孵育与混匀，需补充更贴切的实验场景标签。,high
P-5003,微孔板检测与高通量筛选,Microplate Detection & High-Throughput Screening,experimental_scene,tag_additions_proposed.csv,设备面向多模式板检测和高通量筛选，现有场景标签不够完整覆盖。,high
P-9005,气候箱培养与稳定性试验,Climate Chamber Incubation & Stability Testing,experimental_scene,tag_additions_proposed.csv,设备说明明确包括培养、预处理和稳定性测试，都是典型气候箱实验场景。 || 其使用方式包括常规培养、存放和稳定性试验，符合气候箱实验场景。,high
