name,name_en,device,registry_key,action_count,function_count,atom_actions,description,description_en,categories,tags,source_file,matched_life_science_tags,matched_tag_confidences,confidence,confidence_refined
Bioyond 细胞培养工作站,,bioyond_cell.bioyond_cell,bioyond_cell,29,,auto-auto_batch_outbound_from_xlsx|auto-auto_feeding4to3|auto-create_and_inbound_materials|auto-create_material|auto-create_materials|auto-create_orders|auto-create_orders_v2|auto-create_sample|auto-order_list_v2|auto-process_order_finish_report|auto-process_sample_finish_report|auto-process_step_finish_report|auto-report_material_change|auto-resource_tree_transfer|auto-scheduler_continue|auto-scheduler_reset|auto-scheduler_start|auto-scheduler_start_and_auto_feeding|auto-scheduler_start_and_auto_feeding_v2|auto-scheduler_stop|auto-storage_batch_inbound|auto-storage_inbound|auto-transfer_1_to_2|auto-transfer_3_to_2|auto-transfer_3_to_2_to_1|auto-update_push_ip|auto-wait_for_order_finish|auto-wait_for_order_finish_polling|auto-wait_for_transfer_task,Bioyond 细胞培养工作站，集成物料管理、调度控制和自动化上料功能，支持Excel批量导入和多仓库管理，适用于细胞培养实验的全流程自动化。,,细胞培养工作站,器件/细胞设备|生命体系|细胞生物学研究|实验室自动化与仪器集成|细胞培养自动化|细胞培养工作站,_aggregate_device_info_existing.csv,器件/细胞设备|生命体系|细胞生物学研究|实验室自动化与仪器集成,high|high|high|low,high,high
Bioyond 配液工作站,,bioyond_dispensing_station.bioyond_dispensing_station,bioyond_dispensing_station,13,,auto-brief_step_parameters|auto-process_order_finish_report|auto-project_order_report|auto-query_resource_by_name|auto-workflow_sample_locations|batch_create_90_10_vial_feeding_tasks|batch_create_diamine_solution_tasks|compute_experiment_design|create_90_10_vial_feeding_task|create_diamine_solution_task|scheduler_start|transfer_materials_to_reaction_station|wait_for_multiple_orders_and_get_reports,Bioyond 配液工作站，支持二胺溶液配制、小瓶投料、物料转运和实验报告生成，具备批量任务创建和多订单并行等待功能，适用于高通量化学实验的自动化配液需求。,,一体化配粉配液站|移液工作站,备料&前处理设备|溶液配制与反应|移液站产品|一体化配粉配液站|移液工作站|实验室自动化与仪器集成|高通量配液与样品制备,_aggregate_device_info_existing.csv,移液站产品|一体化配粉配液站|移液工作站|实验室自动化与仪器集成,medium|medium|medium|low,medium,high
安捷伦高效液相色谱仪,,characterization_chromatic.hplc.agilent,hplc.agilent,6,,auto-check_status|auto-extract_data_from_txt|auto-start_sequence|auto-try_close_sub_device|auto-try_open_sub_device|execute_command_from_outer,安捷伦高效液相色谱（HPLC）分析设备，用于复杂化合物的分离、检测和定量分析。该设备通过UI自动化技术控制安捷伦ChemStation软件，实现全自动的样品分析流程。具备序列启动、设备状态监控、数据文件提取、结果处理等功能。支持多样品批量处理和实时状态反馈，适用于药物分析、环境检测、食品安全、化学研究等需要高精度色谱分析的实验室应用。,,高效液相色谱仪,表征设备|智慧表征与检测中心|物化表征测试中心|样品分离与前处理|高效液相色谱仪|色谱分离与定量分析,_aggregate_device_info_existing.csv,样品分离与前处理,medium,medium,high
智达高效液相色谱仪,,characterization_chromatic.hplc.agilent-zhida,hplc.agilent-zhida,5,,abort|auto-close|auto-connect|get_methods|start,智达高效液相色谱（HPLC）分析设备，用于实验室样品的分离、检测和定量分析。该设备通过TCP socket与HPLC控制系统通信，支持远程控制和状态监控。具备自动进样、梯度洗脱、多检测器数据采集等功能，可执行复杂的色谱分析方法。适用于化学分析、药物检测、环境监测、生物样品分析等需要高精度分离分析的实验室应用场景。,,高效液相色谱仪,表征设备|智慧表征与检测中心|物化表征测试中心|样品分离与前处理|高效液相色谱仪|色谱分离与定量分析,_aggregate_device_info_existing.csv,样品分离与前处理,medium,medium,high
液体处理工作站,,liquid_handler.liquid_handler,liquid_handler,29,,add_liquid|aspirate|auto-create_protocol|auto-custom_delay|auto-iter_tips|auto-set_group|auto-set_liquid|auto-set_liquid_from_plate|auto-set_tiprack|auto-touch_tip|auto-transfer_group|discard_tips|dispense|drop_tips|drop_tips96|mix|move_lid|move_plate|move_resource|move_to|pick_up_tips|pick_up_tips96|remove|remove_liquid|return_tips|return_tips96|stamp|transfer|transfer_liquid,Liquid handler device controlled by pylabrobot,,移液工作站,备料&前处理设备|实验执行&合成设备|溶液配制与反应|实验室自动化与仪器集成|移液站产品|移液工作站,_aggregate_device_info_existing.csv,实验室自动化与仪器集成|移液站产品|移液工作站,low|medium|medium,medium,high
Biomek 液体处理工作站,,liquid_handler.liquid_handler.biomek,liquid_handler.biomek,10,,auto-create_resource|auto-deserialize|auto-instrument_setup_biomek|create_protocol|incubation_biomek|move_biomek|oscillation_biomek|run_protocol|transfer_biomek|transfer_liquid,Biomek液体处理器设备，基于pylabrobot控制,,移液工作站,备料&前处理设备|实验执行&合成设备|溶液配制与反应|实验室自动化与仪器集成|移液站产品|移液工作站,_aggregate_device_info_existing.csv,实验室自动化与仪器集成|移液站产品|移液工作站,low|medium|medium,medium,high
来渝液体处理工作站,,liquid_handler.liquid_handler.laiyu,liquid_handler.laiyu,7,,add_liquid|aspirate|auto-transfer_liquid|dispense|drop_tips|mix|pick_up_tips,Laiyu液体处理器设备，基于pylabrobot控制,,移液工作站,备料&前处理设备|溶液配制与反应|实验室自动化与仪器集成|移液站产品|移液工作站,_aggregate_device_info_existing.csv,实验室自动化与仪器集成|移液站产品|移液工作站,low|medium|medium,medium,high
PRCXI 液体处理工作站,,liquid_handler.liquid_handler.prcxi,liquid_handler.prcxi,24,,add_liquid|aspirate|auto-create_protocol|auto-custom_delay|auto-heater_action|auto-iter_tips|auto-move_to|auto-run_protocol|auto-set_group|auto-shaker_action|auto-touch_tip|auto-transfer_group|discard_tips|dispense|drop_tips|mix|move_plate|pick_up_tips|remove_liquid|set_liquid|set_liquid_from_plate|set_tiprack|transfer|transfer_liquid,prcxi液体处理器设备，基于pylabrobot控制,,移液工作站,备料&前处理设备|溶液配制与反应|实验室自动化与仪器集成|移液站产品|移液工作站,_aggregate_device_info_existing.csv,实验室自动化与仪器集成|移液站产品|移液工作站,low|medium|medium,medium,high
Revvity 液体处理工作站,,liquid_handler.liquid_handler.revvity,liquid_handler.revvity,1,,run,Revvity（原PerkinElmer）液体处理工作站，基于pylabrobot控制，用于实验室液体样品的自动化分配和转移操作。,,移液工作站,备料&前处理设备|溶液配制与反应|实验室自动化与仪器集成|移液站产品|移液工作站,_aggregate_device_info_existing.csv,实验室自动化与仪器集成|移液站产品|移液工作站,low|medium|medium,medium,high
A4S微孔板热封机,A4S Microplate Heat Sealer,a4_s_backend,a4_s_backend,13,24,auto-close|auto-get_remaining_time|auto-get_status|auto-get_temperature|auto-open|auto-seal|auto-send_command|auto-set_heater|auto-set_temperature|auto-set_time|auto-setup|auto-stop|auto-system_reset,A4S是一种用于实验室微孔板热封的自动封膜设备，可对PCR板、深孔板或储样板施加受控温度和时间，将封膜材料压合到板口以实现密封。它适用于样品储存、避免蒸发与污染，以及自动化样品处理流程中的板封口步骤。,"The A4S is an automated microplate heat sealer used in laboratories to apply sealing films to microplates under controlled temperature and time conditions. It is used with PCR plates, deep-well plates, or storage plates to create a secure seal for sample storage, evaporation and contamination control, and automated sample-processing workflows.",封膜仪,备料&前处理设备|生命体系|实验室自动化与仪器集成|移液站产品|封膜仪,_aggregate_device_info_output.csv,生命体系|实验室自动化与仪器集成|移液站产品|封膜仪,high|low|medium|medium,high,high
