name,name_en,device,registry_key,action_count,function_count,atom_actions,description,description_en,categories,tags
NI数据采集设备,NI DAQ Device,__device_alternate_constructor,__device_alternate_constructor,125,139,accessory_product_nums|accessory_product_types|accessory_serial_nums|add_network_device|ai_bridge_rngs|ai_charge_rngs|ai_couplings|ai_current_int_excit_discrete_vals|ai_current_rngs|ai_dig_fltr_lowpass_cutoff_freq_discrete_vals|ai_dig_fltr_lowpass_cutoff_freq_range_vals|ai_dig_fltr_types|ai_freq_rngs|ai_gains|ai_lowpass_cutoff_freq_discrete_vals|ai_lowpass_cutoff_freq_range_vals|ai_max_multi_chan_rate|ai_max_single_chan_rate|ai_meas_types|ai_min_rate|ai_num_samp_timing_engines|ai_num_sync_pulse_srcs|ai_physical_chans|ai_resistance_rngs|ai_samp_modes|ai_simultaneous_sampling_supported|ai_trig_usage|ai_voltage_int_excit_discrete_vals|ai_voltage_int_excit_range_vals|ai_voltage_rngs|anlg_trig_supported|ao_current_rngs|ao_gains|ao_max_rate|ao_min_rate|ao_num_samp_timing_engines|ao_num_sync_pulse_srcs|ao_output_types|ao_physical_chans|ao_samp_clk_supported|ao_samp_modes|ao_trig_usage|ao_voltage_rngs|bus_type|cal_acc_connection_count|cal_dev_temp|cal_recommended_acc_connection_count_limit|cal_user_defined_info|cal_user_defined_info_max_size|carrier_serial_num|chassis_module_devices|ci_max_size|ci_max_timebase|ci_meas_types|ci_physical_chans|ci_samp_clk_supported|ci_samp_modes|ci_trig_usage|co_max_size|co_max_timebase|co_output_types|co_physical_chans|co_samp_clk_supported|co_samp_modes|co_trig_usage|compact_daq_chassis_device|compact_daq_slot_num|compact_rio_chassis_device|compact_rio_slot_num|delete_network_device|dev_is_simulated|dev_serial_num|device_supports_cal|di_lines|di_max_rate|di_num_samp_timing_engines|di_ports|di_trig_usage|dig_trig_supported|do_lines|do_max_rate|do_num_samp_timing_engines|do_ports|do_trig_usage|ext_cal_last_date_and_time|ext_cal_last_temp|ext_cal_recommended_interval|field_daq_bank_devices|field_daq_device|hwteds_supported|id_pin_mem_family_codes|id_pin_mem_serial_nums|id_pin_mem_sizes|id_pin_pin_names|id_pin_pin_statuses|is_simulated|name|num_dma_chans|num_time_trigs|num_timestamp_engines|pci_bus_num|pci_dev_num|product_category|product_num|product_type|pxi_chassis_num|pxi_slot_num|read_id_pin_memory|reserve_network_device|reset_device|restore_last_ext_cal_const|self_cal|self_cal_last_date_and_time|self_cal_last_temp|self_cal_supported|self_test_device|serial_num|tcpip_ethernet_ip|tcpip_hostname|tcpip_wireless_ip|tedshwteds_supported|terminals|time_trig_supported|unreserve_network_device|write_id_pin_memory,用于实验室测量与控制的 NI 数据采集设备（DAQ）接口，支持模拟/数字信号采集、输出与定时触发等常见实验任务。,"An NI data acquisition (DAQ) device interface for laboratory measurement and control, supporting common tasks such as analog/digital I/O, acquisition, and timing/trigger operations.",数据采集与控制接口,表征设备|实验执行&合成设备|智慧表征与检测中心|物化表征测试中心|实验室自动化与仪器集成|实验仪器数据采集与联机控制|数据采集与控制接口
LibUSB USB通信库,libusb USB Access Library,__lib_usb,__lib_usb,18,40,auto-bulk_read|auto-bulk_write|auto-claim_interface|auto-clear_halt|auto-close_device|auto-ctrl_transfer|auto-detach_kernel_driver|auto-enumerate_devices|auto-intr_read|auto-intr_write|auto-is_kernel_driver_active|auto-iso_read|auto-iso_write|auto-open_device|auto-release_interface|auto-reset_device|auto-set_configuration|auto-set_interface_altsetting,LibUSB 是一个开源、跨平台的用户态 USB 通信库，用于让上层应用直接访问和控制 USB 设备，常用于实验仪器通信与数据传输。,"libusb is an open-source, cross-platform user-space USB communication library that lets applications access and control USB devices, commonly used for instrument communication and data transfer.",USB仪器通信接口,实验执行&合成设备|表征设备|智慧表征与检测中心|物化表征测试中心|实验室自动化与仪器集成|实验仪器通信与驱动集成|USB仪器通信接口
Prior ProScan III 显微镜控制器,Prior ProScan III microscope controller,__pro_scan_iii_connection,__pro_scan_iii_connection,13,28,auto-assert_filterwheel_number|auto-changed_timeout|auto-command|auto-get_command|auto-get_description|auto-get_filter_position|auto-get_n_filter_positions|auto-has_filterwheel|auto-move_command|auto-read_until_timeout|auto-readline|auto-set_command|auto-set_filter_position,Prior ProScan III 是一款用于显微镜系统的控制器，可连接并控制多个滤轮。它常用于荧光显微和多通道成像实验中，以切换滤光片位置、选择成像通道并协调显微镜附件的工作。,"The Prior ProScan III is a microscope system controller that can connect to and control multiple filter wheels. It is commonly used in fluorescence microscopy and multichannel imaging to switch filter positions, select imaging channels, and coordinate microscope accessories.",显微镜自动化控制器,表征设备|智慧表征与检测中心|实验室自动化与仪器集成|物化表征测试中心|显微成像与光学显微实验|显微镜自动化控制器
Mecademic工业机械臂,Mecademic industrial robot arm,__robot,__robot,213,469,auto-ActivateBrakes|auto-ActivateRobot|auto-ActivateSim|auto-ApiUnlock|auto-AutoConnectionWatchdog|auto-ClearMotion|auto-ConnectionWatchdog|auto-CreateVariable|auto-DeactivateRobot|auto-DeactivateSim|auto-Delay|auto-DeleteAllVariables|auto-DeleteFile|auto-DeleteVariable|auto-Disconnect|auto-EnableEtherNetIp|auto-EnableProfinet|auto-EndLogging|auto-ForceRealTimeMonitoring|auto-GetAutoConf|auto-GetAutoConfTurn|auto-GetBlending|auto-GetBrakesState|auto-GetCalibrationCfg|auto-GetCapturedTrajectory|auto-GetCapturedTrajectoryPath|auto-GetCartAcc|auto-GetCartAngVel|auto-GetCartLinVel|auto-GetCheckpoint|auto-GetCheckpointDiscarded|auto-GetCmdPendingCount|auto-GetCollisionCfg|auto-GetCollisionStatus|auto-GetConf|auto-GetConfTurn|auto-GetEtherNetIpEnabled|auto-GetExtToolFwVersion|auto-GetExtToolSim|auto-GetFwVersion|auto-GetGripperForce|auto-GetGripperRange|auto-GetGripperVel|auto-GetInterruptableEvent|auto-GetIoSim|auto-GetJointAcc|auto-GetJointLimits|auto-GetJointLimitsCfg|auto-GetJointVel|auto-GetJointVelLimit|auto-GetLoadedPrograms|auto-GetMecaScriptCfg|auto-GetMecaScriptEngineStatus|auto-GetModelJointLimits|auto-GetMonitoringInterval|auto-GetMoveDuration|auto-GetMoveDurationCfg|auto-GetMoveJumpApproachVel|auto-GetMoveJumpHeight|auto-GetMoveMode|auto-GetNetworkCfg|auto-GetNetworkOptions|auto-GetOperationMode|auto-GetPStop2Cfg|auto-GetPayload|auto-GetPowerSupplyInputs|auto-GetProductType|auto-GetProfinetEnabled|auto-GetProgramExecutionStatus|auto-GetRealTimeMonitoring|auto-GetRecoveryMode|auto-GetRobotCalibrated|auto-GetRobotInfo|auto-GetRobotName|auto-GetRobotRtData|auto-GetRobotSerial|auto-GetRtAccelerometer|auto-GetRtCartPos|auto-GetRtCartVel|auto-GetRtConf|auto-GetRtConfTurn|auto-GetRtExtToolStatus|auto-GetRtGripperForce|auto-GetRtGripperPos|auto-GetRtGripperState|auto-GetRtI2t|auto-GetRtInputState|auto-GetRtIoStatus|auto-GetRtJointPos|auto-GetRtJointTorq|auto-GetRtJointVel|auto-GetRtOutputState|auto-GetRtTargetCartPos|auto-GetRtTargetCartVel|auto-GetRtTargetConf|auto-GetRtTargetConfTurn|auto-GetRtTargetJointPos|auto-GetRtTargetJointTorq|auto-GetRtTargetJointVel|auto-GetRtTemperature|auto-GetRtTrf|auto-GetRtVacuumPressure|auto-GetRtVacuumState|auto-GetRtValveState|auto-GetRtWrf|auto-GetRtc|auto-GetSafetyStatus|auto-GetSafetyStopStatus|auto-GetSimModeCfg|auto-GetStatusGripper|auto-GetStatusRobot|auto-GetTimeScaling|auto-GetToolSphere|auto-GetTorqueLimits|auto-GetTorqueLimitsCfg|auto-GetTorqueLimitsStatus|auto-GetVacuumPurgeDuration|auto-GetVacuumThreshold|auto-GetVariable|auto-GetVariableByCyclicId|auto-GetVelTimeout|auto-GetWorkZoneCfg|auto-GetWorkZoneLimits|auto-GetWorkZoneStatus|auto-GripperClose|auto-GripperOpen|auto-Home|auto-IsConnected|auto-IsControlling|auto-IsDesiredIoState|auto-IsSynchronousMode|auto-ListFiles|auto-ListVariables|auto-LoadFile|auto-LogTrace|auto-LogUserCommands|auto-MoveGripper|auto-PauseMotion|auto-RebootRobot|auto-RegisterCallback|auto-RegisterCallbacks|auto-ResetError|auto-ResetPStop2Deprecated|auto-ResumeMotion|auto-SaveFile|auto-SetApiLock|auto-SetCalibrationCfg|auto-SetCollisionCfg|auto-SetExtToolSim|auto-SetIoSim|auto-SetJointLimits|auto-SetJointLimitsCfg|auto-SetLoadedPrograms|auto-SetMecaScriptCfg|auto-SetMonitoringInterval|auto-SetPStop2Cfg|auto-SetPayload|auto-SetRecoveryMode|auto-SetRobotName|auto-SetRtc|auto-SetSilentApiMode|auto-SetSimModeCfg|auto-SetTimeScaling|auto-SetToolSphere|auto-SetTorqueLimitsCfg|auto-SetVariable|auto-SetWorkZoneCfg|auto-SetWorkZoneLimits|auto-StartLogging|auto-StartProgram|auto-StopProgram|auto-SwitchToEtherCAT|auto-TcpDump|auto-TcpDumpStop|auto-UnregisterCallback|auto-UnregisterCallbacks|auto-UpdateRobot|auto-VacuumGripReleaseImmediate|auto-WaitActivated|auto-WaitConnected|auto-WaitDeactivated|auto-WaitDisconnected|auto-WaitEStopResetDeprecated|auto-WaitEStopResettableDeprecated|auto-WaitEndOfCycle|auto-WaitErrorReset|auto-WaitExtToolSimActivated|auto-WaitExtToolSimDeactivated|auto-WaitForAnyCheckpoint|auto-WaitForError|auto-WaitGripperMoveCompletion|auto-WaitHomed|auto-WaitIOState|auto-WaitIdle|auto-WaitIoSimDisabled|auto-WaitIoSimEnabled|auto-WaitMecaScriptEngineReady|auto-WaitMotionCleared|auto-WaitMotionPaused|auto-WaitMotionResumed|auto-WaitPStop2ResetDeprecated|auto-WaitPStop2ResettableDeprecated|auto-WaitProgramDone|auto-WaitProgramsLoaded|auto-WaitPurgeDone|auto-WaitRecoveryMode|auto-WaitReleasedPart|auto-WaitSafetyStopReset|auto-WaitSafetyStopResettable|auto-WaitSafetyStopStateChange|auto-WaitSimActivated|auto-WaitSimDeactivated|auto-sleep,这是一类紧凑型工业机械臂，可配电动夹爪、真空夹具和I/O扩展模块，用于实验室和自动化工位中的精密抓取、搬运、装配、轨迹执行、工件定位与过程自动化。,"This is a compact industrial robot arm that can be equipped with an electric gripper, vacuum tool, and I/O expansion modules for precision pick-and-place, handling, assembly, trajectory execution, part positioning, and laboratory automation.",机械臂,物流/机械|实验室自动化与仪器集成|实验仪器数据采集与联机控制|实验仪器通信与驱动集成|机械臂
Zaber 菊花链式电动位移台与光学外设系统,Zaber daisy-chained motorized stage and optical peripheral system,__zaber_connection,__zaber_connection,3,68,auto-lock|auto-readline|auto-write,这是一类通过串口菊花链连接的 Zaber 实验室自动化设备系统，可包含电动位移台、滤光轮或滤块转塔，以及 LED 光源控制器。它常用于显微镜和光学实验中，实现样品定位、滤光片切换和照明控制等自动化操作。,"This is a family of Zaber laboratory automation devices connected over a serial daisy chain, including motorized stages, filter wheels or filter cube turrets, and LED light controllers. It is commonly used in microscopy and optical experiments for automated sample positioning, filter switching, and illumination control.",显微镜自动化控制器,表征设备|智慧表征与检测中心|实验室自动化与仪器集成|物化表征测试中心|显微成像与光学显微实验|显微镜自动化控制器
Zaber X-LCA4 LED控制器,Zaber X-LCA4 LED Controller,__zaber_led_controller,__zaber_led_controller,1,68,auto-devices,这是一款多通道LED光源控制器，用于驱动和控制显微镜或光学实验中的LED照明通道。它可作为实验系统中的照明单元，为不同LED提供独立控制，适合荧光激发、透射/反射照明及多波段光学实验。,"This is a multi-channel LED light controller used to drive and control LED illumination channels in microscopy and optical experiments. It serves as an illumination control unit for independently managed LEDs, suitable for fluorescence excitation, transmitted/reflected illumination, and multi-wavelength optical setups.",LED光源控制器,表征设备|智慧表征与检测中心|物化表征测试中心|显微成像与光学显微实验|LED光源控制器
ASI MS2000显微镜控制器,ASI MS2000 Microscope Controller,_asi_controller,_asi_controller,25,62,auto-changed_timeout|auto-command|auto-find_max_speed|auto-get_absolute_position|auto-get_command|auto-get_description|auto-get_led_power|auto-get_number_axes|auto-get_number_leds|auto-is_busy|auto-is_led_on|auto-motor_moving|auto-move_by_relative_position|auto-move_command|auto-move_to_absolute_position|auto-move_to_limit|auto-read_multiline|auto-read_until_timeout|auto-readline|auto-reset_position|auto-set_command|auto-set_led_power|auto-set_speed|auto-wait_for_motor_stop|auto-wait_until_idle,用于显微镜自动化的多轴控制器，可驱动X、Y、Z载物台或调焦轴，并在部分配置下控制LED照明通道。常用于显微成像中的样品定位、扫描、对焦以及光源联动控制。,"A multi-axis controller for microscope automation that can drive X, Y, and Z stage or focus axes, and on some configurations also control LED illumination channels. It is commonly used for sample positioning, scanning, focusing, and coordinated light control in microscopy experiments.",显微镜自动化控制器,表征设备|智慧表征与检测中心|实验室自动化与仪器集成|物化表征测试中心|显微成像与光学显微实验|显微镜自动化控制器
TOPTICA iBeam 智能二极管激光器,TOPTICA iBeam Smart Diode Laser,_i_beam_connection,_i_beam_connection,7,26,auto-command|auto-laser_off|auto-laser_on|auto-set_normal_channel_power|auto-show_max_power|auto-show_power_uW|auto-status_laser,TOPTICA iBeam 是一款紧凑型智能二极管激光光源，可通过串口控制激光开关和输出功率，并读取实际输出状态。它常用于显微镜激发照明、光学实验以及需要稳定连续激光输出的实验室场景。,"The TOPTICA iBeam is a compact smart diode laser source with serial control for laser on/off operation, output power setting, and status readback. It is commonly used for microscope excitation, optical experiments, and other laboratory applications requiring stable continuous laser output.",二极管激光器,表征设备|智慧表征与检测中心|物化表征测试中心|显微成像与光学显微实验|二极管激光器
2023A 射频信号发生器,2023A RF Signal Generator,a2023a,a2023a,30,43,auto-amplitude|auto-clear_status|auto-clear_status_async|auto-event_status_enabled|auto-event_status_reg|auto-expose|auto-expose_async|auto-fitted_options|auto-frequency|auto-frequency_standard|auto-idn|auto-local_lockout|auto-offset|auto-output_enabled|auto-phase|auto-remote|auto-reset|auto-reset_async|auto-rflimit|auto-rflimit_enabled|auto-self_test|auto-self_test_async|auto-service_request_enabled|auto-software_handshake|auto-status_byte|auto-time|auto-trigger|auto-trigger_async|auto-wait|auto-wait_async,这是一台台式射频信号发生器，可在 9 千赫至 1.2 吉赫范围内输出可调的连续波射频信号，并支持频率、幅度、相位、输出开关和频率基准等设置。它常用于射频电路、接收机、通信设备和通用电子测试中的信号注入、校准与性能验证。,"This is a benchtop RF signal generator that produces adjustable continuous-wave RF signals from 9 kHz to 1.2 GHz, with control of frequency, amplitude, phase, output enable, and frequency reference selection. It is commonly used for signal injection, calibration, and performance verification of RF circuits, receivers, communication equipment, and general electronic test setups.",射频信号发生器,表征设备|电子与电气测试|射频与电子电路测试|射频信号发生器
A2D 四通道隔离式 ADC 电压采集模块,A2D 4-Channel Isolated ADC Voltage Measurement Module,a2_d_4_ch__isolated_adc,a2_d_4_ch__isolated_adc,10,18,auto-calibrate_voltage|auto-get_calibration|auto-get_num_channels|auto-get_rs485_addr|auto-measure_voltage|auto-measure_voltage_at_adc|auto-reset|auto-reset_calibration|auto-save_calibration|auto-set_led,这是一款带四路隔离输入的模数转换电压采集模块，可通过 RS485 通讯读取多通道电压，并支持校准参数管理与状态指示灯控制。适用于实验室中的多路电压监测、传感器信号采集和电隔离测量场景。,"This is a four-channel isolated ADC-based voltage acquisition module that reads multiple voltage inputs over RS485 and supports calibration management and LED status indication. It is suitable for laboratory use in multi-channel voltage monitoring, sensor signal acquisition, and electrically isolated measurements.",数据采集与控制接口|电压采集模块,表征设备|实验室自动化与仪器集成|实验仪器数据采集与联机控制|实验仪器通信与驱动集成|数据采集与控制接口|电压监测与传感器信号采集|电压采集模块
