name,name_en,device,registry_key,action_count,function_count,atom_actions,description,description_en,categories,tags
Oxford Qone 核磁共振波谱仪,,Qone_nmr.Qone_nmr,Qone_nmr,5,,abort|auto-monitor_folder_for_new_content|auto-strings_to_txt|get_status|start,Oxford NMR设备驱动，支持CSV字符串到TXT文件的批量转换功能，并监测对应.nmr文件的大小变化以确认结果生成完成,,表征设备|核磁共振波谱仪,表征设备|智慧表征与检测中心|物化表征测试中心|核磁共振波谱仪
,,balance.balance,balance,0,,,,,,
Bioyond 细胞培养工作站,,bioyond_cell.bioyond_cell,bioyond_cell,29,,auto-auto_batch_outbound_from_xlsx|auto-auto_feeding4to3|auto-create_and_inbound_materials|auto-create_material|auto-create_materials|auto-create_orders|auto-create_orders_v2|auto-create_sample|auto-order_list_v2|auto-process_order_finish_report|auto-process_sample_finish_report|auto-process_step_finish_report|auto-report_material_change|auto-resource_tree_transfer|auto-scheduler_continue|auto-scheduler_reset|auto-scheduler_start|auto-scheduler_start_and_auto_feeding|auto-scheduler_start_and_auto_feeding_v2|auto-scheduler_stop|auto-storage_batch_inbound|auto-storage_inbound|auto-transfer_1_to_2|auto-transfer_3_to_2|auto-transfer_3_to_2_to_1|auto-update_push_ip|auto-wait_for_order_finish|auto-wait_for_order_finish_polling|auto-wait_for_transfer_task,Bioyond 细胞培养工作站，集成物料管理、调度控制和自动化上料功能，支持Excel批量导入和多仓库管理，适用于细胞培养实验的全流程自动化。,,器件/细胞设备,器件/细胞设备|生命体系|细胞生物学研究|实验室自动化与仪器集成
Bioyond 配液工作站,,bioyond_dispensing_station.bioyond_dispensing_station,bioyond_dispensing_station,13,,auto-brief_step_parameters|auto-process_order_finish_report|auto-project_order_report|auto-query_resource_by_name|auto-workflow_sample_locations|batch_create_90_10_vial_feeding_tasks|batch_create_diamine_solution_tasks|compute_experiment_design|create_90_10_vial_feeding_task|create_diamine_solution_task|scheduler_start|transfer_materials_to_reaction_station|wait_for_multiple_orders_and_get_reports,Bioyond 配液工作站，支持二胺溶液配制、小瓶投料、物料转运和实验报告生成，具备批量任务创建和多订单并行等待功能，适用于高通量化学实验的自动化配液需求。,,备料&前处理设备|移液工作站,备料&前处理设备|移液工作站|移液站产品|溶液配制与反应|实验室自动化与仪器集成
USB 摄像头控制器,,cameraSII.cameracontroller_device,cameracontroller_device,2,,auto-start|auto-stop,Uni-Lab-OS 摄像头驱动（Linux USB 摄像头版，无 PTZ）,,表征设备,表征设备|实验室自动化与仪器集成
安捷伦高效液相色谱仪,,characterization_chromatic.hplc.agilent,hplc.agilent,6,,auto-check_status|auto-extract_data_from_txt|auto-start_sequence|auto-try_close_sub_device|auto-try_open_sub_device|execute_command_from_outer,安捷伦高效液相色谱（HPLC）分析设备，用于复杂化合物的分离、检测和定量分析。该设备通过UI自动化技术控制安捷伦ChemStation软件，实现全自动的样品分析流程。具备序列启动、设备状态监控、数据文件提取、结果处理等功能。支持多样品批量处理和实时状态反馈，适用于药物分析、环境检测、食品安全、化学研究等需要高精度色谱分析的实验室应用。,,表征设备,表征设备|智慧表征与检测中心|物化表征测试中心
智达高效液相色谱仪,,characterization_chromatic.hplc.agilent-zhida,hplc.agilent-zhida,5,,abort|auto-close|auto-connect|get_methods|start,智达高效液相色谱（HPLC）分析设备，用于实验室样品的分离、检测和定量分析。该设备通过TCP socket与HPLC控制系统通信，支持远程控制和状态监控。具备自动进样、梯度洗脱、多检测器数据采集等功能，可执行复杂的色谱分析方法。适用于化学分析、药物检测、环境监测、生物样品分析等需要高精度分离分析的实验室应用场景。,,表征设备,表征设备|智慧表征与检测中心|物化表征测试中心
自制拉曼光谱仪,,characterization_optic.raman.home_made,raman.home_made,5,,auto-ccd_time|auto-laser_on_power|auto-raman_without_background|auto-raman_without_background_average|raman_cmd,拉曼光谱分析设备，用于物质的分子结构和化学成分表征。该设备集成激光器和CCD检测器，通过串口通信控制激光功率和光谱采集。具备背景扣除、多次平均、自动数据处理等功能，支持高精度的拉曼光谱测量。适用于材料表征、化学分析、质量控制、研究开发等需要分子指纹识别和结构分析的实验应用。,,表征设备|拉曼光谱仪,表征设备|拉曼光谱仪|智慧表征与检测中心|物化表征测试中心
ChinWe 简易工作站控制器,,chinwe.separator.chinwe,separator.chinwe,12,,auto-connect|auto-disconnect|auto-execute_command_from_outer|motor_rotate_quarter|motor_run_continuous|motor_stop|pump_aspirate|pump_dispense|pump_initialize|pump_valve|wait_sensor_level|wait_time,"ChinWe 简易工作站控制器 (3泵, 2电机, 1传感器)",,实验执行&合成设备,实验执行&合成设备|溶液配制与反应|实验室自动化与仪器集成
纽扣电池组装工作站,,coin_cell_workstation.coincellassemblyworkstation_device,coincellassemblyworkstation_device,20,,auto-change_hole_sheet_to_2|auto-fill_plate|auto-fun_wuliao_test|auto-func_allpack_cmd|auto-func_allpack_cmd_simp|auto-func_get_csv_export_status|auto-func_pack_device_auto|auto-func_pack_device_init|auto-func_pack_device_init_auto_start_combined|auto-func_pack_device_start|auto-func_pack_device_stop|auto-func_pack_get_msg_cmd|auto-func_pack_send_bottle_num|auto-func_pack_send_finished_cmd|auto-func_pack_send_msg_cmd|auto-func_read_data_and_output|auto-func_sendbottle_allpack_multi|auto-func_stop_read_data|auto-modify_deck_name|auto-qiming_coin_cell_code,纽扣电池自动组装工作站，集成电解液注入、极片放置、隔膜组装和压制封装等全流程操作，支持多种组装模式和参数配置，适用于纽扣电池的高效自动化生产。,,实验执行&合成设备|模具电池组装工站,实验执行&合成设备|模具电池组装工站|电解液配方与工艺|实验室自动化与仪器集成
