device,registry_key,short_description,categories,tags,action_count,atom_actions,action_titles,function_count,info_txt
__device_alternate_constructor,__device_alternate_constructor,Device Alternate Constructor是一款实验执行&合成设备，主要功能包括写入数据、复位、状态查询、设备连接、读取数据。,实验执行&合成设备,实验执行&合成设备(experimental_step),125,accessory_product_nums|accessory_product_types|accessory_serial_nums|add_network_device|ai_bridge_rngs|ai_charge_rngs|ai_couplings|ai_current_int_excit_discrete_vals|ai_current_rngs|ai_dig_fltr_lowpass_cutoff_freq_discrete_vals|ai_dig_fltr_lowpass_cutoff_freq_range_vals|ai_dig_fltr_types|ai_freq_rngs|ai_gains|ai_lowpass_cutoff_freq_discrete_vals|ai_lowpass_cutoff_freq_range_vals|ai_max_multi_chan_rate|ai_max_single_chan_rate|ai_meas_types|ai_min_rate|ai_num_samp_timing_engines|ai_num_sync_pulse_srcs|ai_physical_chans|ai_resistance_rngs|ai_samp_modes|ai_simultaneous_sampling_supported|ai_trig_usage|ai_voltage_int_excit_discrete_vals|ai_voltage_int_excit_range_vals|ai_voltage_rngs|anlg_trig_supported|ao_current_rngs|ao_gains|ao_max_rate|ao_min_rate|ao_num_samp_timing_engines|ao_num_sync_pulse_srcs|ao_output_types|ao_physical_chans|ao_samp_clk_supported|ao_samp_modes|ao_trig_usage|ao_voltage_rngs|bus_type|cal_acc_connection_count|cal_dev_temp|cal_recommended_acc_connection_count_limit|cal_user_defined_info|cal_user_defined_info_max_size|carrier_serial_num|chassis_module_devices|ci_max_size|ci_max_timebase|ci_meas_types|ci_physical_chans|ci_samp_clk_supported|ci_samp_modes|ci_trig_usage|co_max_size|co_max_timebase|co_output_types|co_physical_chans|co_samp_clk_supported|co_samp_modes|co_trig_usage|compact_daq_chassis_device|compact_daq_slot_num|compact_rio_chassis_device|compact_rio_slot_num|delete_network_device|dev_is_simulated|dev_serial_num|device_supports_cal|di_lines|di_max_rate|di_num_samp_timing_engines|di_ports|di_trig_usage|dig_trig_supported|do_lines|do_max_rate|do_num_samp_timing_engines|do_ports|do_trig_usage|ext_cal_last_date_and_time|ext_cal_last_temp|ext_cal_recommended_interval|field_daq_bank_devices|field_daq_device|hwteds_supported|id_pin_mem_family_codes|id_pin_mem_serial_nums|id_pin_mem_sizes|id_pin_pin_names|id_pin_pin_statuses|is_simulated|name|num_dma_chans|num_time_trigs|num_timestamp_engines|pci_bus_num|pci_dev_num|product_category|product_num|product_type|pxi_chassis_num|pxi_slot_num|read_id_pin_memory|reserve_network_device|reset_device|restore_last_ext_cal_const|self_cal|self_cal_last_date_and_time|self_cal_last_temp|self_cal_supported|self_test_device|serial_num|tcpip_ethernet_ip|tcpip_hostname|tcpip_wireless_ip|tedshwteds_supported|terminals|time_trig_supported|unreserve_network_device|write_id_pin_memory,accessory_product_nums|accessory_product_types|accessory_serial_nums|add_network_device|ai_bridge_rngs|ai_charge_rngs|ai_couplings|ai_current_int_excit_discrete_vals|ai_current_rngs|ai_dig_fltr_lowpass_cutoff_freq_discrete_vals|ai_dig_fltr_lowpass_cutoff_freq_range_vals|ai_dig_fltr_types|ai_freq_rngs|ai_gains|ai_lowpass_cutoff_freq_discrete_vals|ai_lowpass_cutoff_freq_range_vals|ai_max_multi_chan_rate|ai_max_single_chan_rate|ai_meas_types|ai_min_rate|ai_num_samp_timing_engines|ai_num_sync_pulse_srcs|ai_physical_chans|ai_resistance_rngs|ai_samp_modes|ai_simultaneous_sampling_supported|ai_trig_usage|ai_voltage_int_excit_discrete_vals|ai_voltage_int_excit_range_vals|ai_voltage_rngs|anlg_trig_supported|ao_current_rngs|ao_gains|ao_max_rate|ao_min_rate|ao_num_samp_timing_engines|ao_num_sync_pulse_srcs|ao_output_types|ao_physical_chans|ao_samp_clk_supported|ao_samp_modes|ao_trig_usage|ao_voltage_rngs|bus_type|cal_acc_connection_count|cal_dev_temp|cal_recommended_acc_connection_count_limit|cal_user_defined_info|cal_user_defined_info_max_size|carrier_serial_num|chassis_module_devices|ci_max_size|ci_max_timebase|ci_meas_types|ci_physical_chans|ci_samp_clk_supported|ci_samp_modes|ci_trig_usage|co_max_size|co_max_timebase|co_output_types|co_physical_chans|co_samp_clk_supported|co_samp_modes|co_trig_usage|compact_daq_chassis_device|compact_daq_slot_num|compact_rio_chassis_device|compact_rio_slot_num|delete_network_device|dev_is_simulated|dev_serial_num|device_supports_cal|di_lines|di_max_rate|di_num_samp_timing_engines|di_ports|di_trig_usage|dig_trig_supported|do_lines|do_max_rate|do_num_samp_timing_engines|do_ports|do_trig_usage|ext_cal_last_date_and_time|ext_cal_last_temp|ext_cal_recommended_interval|field_daq_bank_devices|field_daq_device|hwteds_supported|id_pin_mem_family_codes|id_pin_mem_serial_nums|id_pin_mem_sizes|id_pin_pin_names|id_pin_pin_statuses|is_simulated|name|num_dma_chans|num_time_trigs|num_timestamp_engines|pci_bus_num|pci_dev_num|product_category|product_num|product_type|pxi_chassis_num|pxi_slot_num|read_id_pin_memory|reserve_network_device|reset_device|restore_last_ext_cal_const|self_cal|self_cal_last_date_and_time|self_cal_last_temp|self_cal_supported|self_test_device|serial_num|tcpip_ethernet_ip|tcpip_hostname|tcpip_wireless_ip|tedshwteds_supported|terminals|time_trig_supported|unreserve_network_device|write_id_pin_memory,133,Uni-Lab-OS/community_drivers/__device_alternate_constructor/info.txt
__lib_usb,__lib_usb,LibUSB 通用USB设备库设备驱动。,实验执行&合成设备,实验执行&合成设备(experimental_step),18,auto-bulk_read|auto-bulk_write|auto-claim_interface|auto-clear_halt|auto-close_device|auto-ctrl_transfer|auto-detach_kernel_driver|auto-enumerate_devices|auto-intr_read|auto-intr_write|auto-is_kernel_driver_active|auto-iso_read|auto-iso_write|auto-open_device|auto-release_interface|auto-reset_device|auto-set_configuration|auto-set_interface_altsetting,bulk_read|bulk_write|claim_interface|clear_halt|close_device|ctrl_transfer|detach_kernel_driver|enumerate_devices|intr_read|intr_write|is_kernel_driver_active|iso_read|iso_write|open_device|release_interface|reset_device|set_configuration|set_interface_altsetting,34,Uni-Lab-OS/community_drivers/__lib_usb/info.txt
__pro_scan_iii_connection,__pro_scan_iii_connection,PRO Scan III Connection是由Prior Scientific生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),13,auto-assert_filterwheel_number|auto-changed_timeout|auto-command|auto-get_command|auto-get_description|auto-get_filter_position|auto-get_n_filter_positions|auto-has_filterwheel|auto-move_command|auto-read_until_timeout|auto-readline|auto-set_command|auto-set_filter_position,assert_filterwheel_number|changed_timeout|command|get_command|get_description|get_filter_position|get_n_filter_positions|has_filterwheel|move_command|read_until_timeout|readline|set_command|set_filter_position,22,Uni-Lab-OS/community_drivers/__pro_scan_iii_connection/info.txt
__robot,__robot,Class for storing possible status events for the Mecademic robot,mechanical_arm,,213,auto-ActivateBrakes|auto-ActivateRobot|auto-ActivateSim|auto-ApiUnlock|auto-AutoConnectionWatchdog|auto-ClearMotion|auto-ConnectionWatchdog|auto-CreateVariable|auto-DeactivateRobot|auto-DeactivateSim|auto-Delay|auto-DeleteAllVariables|auto-DeleteFile|auto-DeleteVariable|auto-Disconnect|auto-EnableEtherNetIp|auto-EnableProfinet|auto-EndLogging|auto-ForceRealTimeMonitoring|auto-GetAutoConf|auto-GetAutoConfTurn|auto-GetBlending|auto-GetBrakesState|auto-GetCalibrationCfg|auto-GetCapturedTrajectory|auto-GetCapturedTrajectoryPath|auto-GetCartAcc|auto-GetCartAngVel|auto-GetCartLinVel|auto-GetCheckpoint|auto-GetCheckpointDiscarded|auto-GetCmdPendingCount|auto-GetCollisionCfg|auto-GetCollisionStatus|auto-GetConf|auto-GetConfTurn|auto-GetEtherNetIpEnabled|auto-GetExtToolFwVersion|auto-GetExtToolSim|auto-GetFwVersion|auto-GetGripperForce|auto-GetGripperRange|auto-GetGripperVel|auto-GetInterruptableEvent|auto-GetIoSim|auto-GetJointAcc|auto-GetJointLimits|auto-GetJointLimitsCfg|auto-GetJointVel|auto-GetJointVelLimit|auto-GetLoadedPrograms|auto-GetMecaScriptCfg|auto-GetMecaScriptEngineStatus|auto-GetModelJointLimits|auto-GetMonitoringInterval|auto-GetMoveDuration|auto-GetMoveDurationCfg|auto-GetMoveJumpApproachVel|auto-GetMoveJumpHeight|auto-GetMoveMode|auto-GetNetworkCfg|auto-GetNetworkOptions|auto-GetOperationMode|auto-GetPStop2Cfg|auto-GetPayload|auto-GetPowerSupplyInputs|auto-GetProductType|auto-GetProfinetEnabled|auto-GetProgramExecutionStatus|auto-GetRealTimeMonitoring|auto-GetRecoveryMode|auto-GetRobotCalibrated|auto-GetRobotInfo|auto-GetRobotName|auto-GetRobotRtData|auto-GetRobotSerial|auto-GetRtAccelerometer|auto-GetRtCartPos|auto-GetRtCartVel|auto-GetRtConf|auto-GetRtConfTurn|auto-GetRtExtToolStatus|auto-GetRtGripperForce|auto-GetRtGripperPos|auto-GetRtGripperState|auto-GetRtI2t|auto-GetRtInputState|auto-GetRtIoStatus|auto-GetRtJointPos|auto-GetRtJointTorq|auto-GetRtJointVel|auto-GetRtOutputState|auto-GetRtTargetCartPos|auto-GetRtTargetCartVel|auto-GetRtTargetConf|auto-GetRtTargetConfTurn|auto-GetRtTargetJointPos|auto-GetRtTargetJointTorq|auto-GetRtTargetJointVel|auto-GetRtTemperature|auto-GetRtTrf|auto-GetRtVacuumPressure|auto-GetRtVacuumState|auto-GetRtValveState|auto-GetRtWrf|auto-GetRtc|auto-GetSafetyStatus|auto-GetSafetyStopStatus|auto-GetSimModeCfg|auto-GetStatusGripper|auto-GetStatusRobot|auto-GetTimeScaling|auto-GetToolSphere|auto-GetTorqueLimits|auto-GetTorqueLimitsCfg|auto-GetTorqueLimitsStatus|auto-GetVacuumPurgeDuration|auto-GetVacuumThreshold|auto-GetVariable|auto-GetVariableByCyclicId|auto-GetVelTimeout|auto-GetWorkZoneCfg|auto-GetWorkZoneLimits|auto-GetWorkZoneStatus|auto-GripperClose|auto-GripperOpen|auto-Home|auto-IsConnected|auto-IsControlling|auto-IsDesiredIoState|auto-IsSynchronousMode|auto-ListFiles|auto-ListVariables|auto-LoadFile|auto-LogTrace|auto-LogUserCommands|auto-MoveGripper|auto-PauseMotion|auto-RebootRobot|auto-RegisterCallback|auto-RegisterCallbacks|auto-ResetError|auto-ResetPStop2Deprecated|auto-ResumeMotion|auto-SaveFile|auto-SetApiLock|auto-SetCalibrationCfg|auto-SetCollisionCfg|auto-SetExtToolSim|auto-SetIoSim|auto-SetJointLimits|auto-SetJointLimitsCfg|auto-SetLoadedPrograms|auto-SetMecaScriptCfg|auto-SetMonitoringInterval|auto-SetPStop2Cfg|auto-SetPayload|auto-SetRecoveryMode|auto-SetRobotName|auto-SetRtc|auto-SetSilentApiMode|auto-SetSimModeCfg|auto-SetTimeScaling|auto-SetToolSphere|auto-SetTorqueLimitsCfg|auto-SetVariable|auto-SetWorkZoneCfg|auto-SetWorkZoneLimits|auto-StartLogging|auto-StartProgram|auto-StopProgram|auto-SwitchToEtherCAT|auto-TcpDump|auto-TcpDumpStop|auto-UnregisterCallback|auto-UnregisterCallbacks|auto-UpdateRobot|auto-VacuumGripReleaseImmediate|auto-WaitActivated|auto-WaitConnected|auto-WaitDeactivated|auto-WaitDisconnected|auto-WaitEStopResetDeprecated|auto-WaitEStopResettableDeprecated|auto-WaitEndOfCycle|auto-WaitErrorReset|auto-WaitExtToolSimActivated|auto-WaitExtToolSimDeactivated|auto-WaitForAnyCheckpoint|auto-WaitForError|auto-WaitGripperMoveCompletion|auto-WaitHomed|auto-WaitIOState|auto-WaitIdle|auto-WaitIoSimDisabled|auto-WaitIoSimEnabled|auto-WaitMecaScriptEngineReady|auto-WaitMotionCleared|auto-WaitMotionPaused|auto-WaitMotionResumed|auto-WaitPStop2ResetDeprecated|auto-WaitPStop2ResettableDeprecated|auto-WaitProgramDone|auto-WaitProgramsLoaded|auto-WaitPurgeDone|auto-WaitRecoveryMode|auto-WaitReleasedPart|auto-WaitSafetyStopReset|auto-WaitSafetyStopResettable|auto-WaitSafetyStopStateChange|auto-WaitSimActivated|auto-WaitSimDeactivated|auto-sleep,ActivateBrakes|ActivateRobot|ActivateSim|ApiUnlock|AutoConnectionWatchdog|ClearMotion|ConnectionWatchdog|CreateVariable|DeactivateRobot|DeactivateSim|Delay|DeleteAllVariables|DeleteFile|DeleteVariable|Disconnect|EnableEtherNetIp|EnableProfinet|EndLogging|ForceRealTimeMonitoring|GetAutoConf|GetAutoConfTurn|GetBlending|GetBrakesState|GetCalibrationCfg|GetCapturedTrajectory|GetCapturedTrajectoryPath|GetCartAcc|GetCartAngVel|GetCartLinVel|GetCheckpoint|GetCheckpointDiscarded|GetCmdPendingCount|GetCollisionCfg|GetCollisionStatus|GetConf|GetConfTurn|GetEtherNetIpEnabled|GetExtToolFwVersion|GetExtToolSim|GetFwVersion|GetGripperForce|GetGripperRange|GetGripperVel|GetInterruptableEvent|GetIoSim|GetJointAcc|GetJointLimits|GetJointLimitsCfg|GetJointVel|GetJointVelLimit|GetLoadedPrograms|GetMecaScriptCfg|GetMecaScriptEngineStatus|GetModelJointLimits|GetMonitoringInterval|GetMoveDuration|GetMoveDurationCfg|GetMoveJumpApproachVel|GetMoveJumpHeight|GetMoveMode|GetNetworkCfg|GetNetworkOptions|GetOperationMode|GetPStop2Cfg|GetPayload|GetPowerSupplyInputs|GetProductType|GetProfinetEnabled|GetProgramExecutionStatus|GetRealTimeMonitoring|GetRecoveryMode|GetRobotCalibrated|GetRobotInfo|GetRobotName|GetRobotRtData|GetRobotSerial|GetRtAccelerometer|GetRtCartPos|GetRtCartVel|GetRtConf|GetRtConfTurn|GetRtExtToolStatus|GetRtGripperForce|GetRtGripperPos|GetRtGripperState|GetRtI2t|GetRtInputState|GetRtIoStatus|GetRtJointPos|GetRtJointTorq|GetRtJointVel|GetRtOutputState|GetRtTargetCartPos|GetRtTargetCartVel|GetRtTargetConf|GetRtTargetConfTurn|GetRtTargetJointPos|GetRtTargetJointTorq|GetRtTargetJointVel|GetRtTemperature|GetRtTrf|GetRtVacuumPressure|GetRtVacuumState|GetRtValveState|GetRtWrf|GetRtc|GetSafetyStatus|GetSafetyStopStatus|GetSimModeCfg|GetStatusGripper|GetStatusRobot|GetTimeScaling|GetToolSphere|GetTorqueLimits|GetTorqueLimitsCfg|GetTorqueLimitsStatus|GetVacuumPurgeDuration|GetVacuumThreshold|GetVariable|GetVariableByCyclicId|GetVelTimeout|GetWorkZoneCfg|GetWorkZoneLimits|GetWorkZoneStatus|GripperClose|GripperOpen|Home|IsConnected|IsControlling|IsDesiredIoState|IsSynchronousMode|ListFiles|ListVariables|LoadFile|LogTrace|LogUserCommands|MoveGripper|PauseMotion|RebootRobot|RegisterCallback|RegisterCallbacks|ResetError|ResetPStop2Deprecated|ResumeMotion|SaveFile|SetApiLock|SetCalibrationCfg|SetCollisionCfg|SetExtToolSim|SetIoSim|SetJointLimits|SetJointLimitsCfg|SetLoadedPrograms|SetMecaScriptCfg|SetMonitoringInterval|SetPStop2Cfg|SetPayload|SetRecoveryMode|SetRobotName|SetRtc|SetSilentApiMode|SetSimModeCfg|SetTimeScaling|SetToolSphere|SetTorqueLimitsCfg|SetVariable|SetWorkZoneCfg|SetWorkZoneLimits|StartLogging|StartProgram|StopProgram|SwitchToEtherCAT|TcpDump|TcpDumpStop|UnregisterCallback|UnregisterCallbacks|UpdateRobot|VacuumGripReleaseImmediate|WaitActivated|WaitConnected|WaitDeactivated|WaitDisconnected|WaitEStopResetDeprecated|WaitEStopResettableDeprecated|WaitEndOfCycle|WaitErrorReset|WaitExtToolSimActivated|WaitExtToolSimDeactivated|WaitForAnyCheckpoint|WaitForError|WaitGripperMoveCompletion|WaitHomed|WaitIOState|WaitIdle|WaitIoSimDisabled|WaitIoSimEnabled|WaitMecaScriptEngineReady|WaitMotionCleared|WaitMotionPaused|WaitMotionResumed|WaitPStop2ResetDeprecated|WaitPStop2ResettableDeprecated|WaitProgramDone|WaitProgramsLoaded|WaitPurgeDone|WaitRecoveryMode|WaitReleasedPart|WaitSafetyStopReset|WaitSafetyStopResettable|WaitSafetyStopStateChange|WaitSimActivated|WaitSimDeactivated|sleep,454,Uni-Lab-OS/community_drivers/__robot/info.txt
__zaber_connection,__zaber_connection,Zaber Connection是由Zaber Technologies生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),3,auto-lock|auto-readline|auto-write,lock|readline|write,62,Uni-Lab-OS/community_drivers/__zaber_connection/info.txt
__zaber_led_controller,__zaber_led_controller,Zaber LED Controller是由Zaber Technologies生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),1,auto-devices,devices,62,Uni-Lab-OS/community_drivers/__zaber_led_controller/info.txt
_asi_controller,_asi_controller,ASI Controller是由Applied Scientific Instrumentation生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),25,auto-changed_timeout|auto-command|auto-find_max_speed|auto-get_absolute_position|auto-get_command|auto-get_description|auto-get_led_power|auto-get_number_axes|auto-get_number_leds|auto-is_busy|auto-is_led_on|auto-motor_moving|auto-move_by_relative_position|auto-move_command|auto-move_to_absolute_position|auto-move_to_limit|auto-read_multiline|auto-read_until_timeout|auto-readline|auto-reset_position|auto-set_command|auto-set_led_power|auto-set_speed|auto-wait_for_motor_stop|auto-wait_until_idle,changed_timeout|command|find_max_speed|get_absolute_position|get_command|get_description|get_led_power|get_number_axes|get_number_leds|is_busy|is_led_on|motor_moving|move_by_relative_position|move_command|move_to_absolute_position|move_to_limit|read_multiline|read_until_timeout|readline|reset_position|set_command|set_led_power|set_speed|wait_for_motor_stop|wait_until_idle,56,Uni-Lab-OS/community_drivers/_asi_controller/info.txt
_i_beam_connection,_i_beam_connection,I Beam Connection是由TOPTICA Photonics生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),7,auto-command|auto-laser_off|auto-laser_on|auto-set_normal_channel_power|auto-show_max_power|auto-show_power_uW|auto-status_laser,command|laser_off|laser_on|set_normal_channel_power|show_max_power|show_power_uW|status_laser,20,Uni-Lab-OS/community_drivers/_i_beam_connection/info.txt
a2023a,a2023a,A2023a是由Apogee Instruments生产的表征设备，主要功能包括使能、复位、曝光、状态查询、触发。,表征设备,表征设备(experimental_step),30,auto-amplitude|auto-clear_status|auto-clear_status_async|auto-event_status_enabled|auto-event_status_reg|auto-expose|auto-expose_async|auto-fitted_options|auto-frequency|auto-frequency_standard|auto-idn|auto-local_lockout|auto-offset|auto-output_enabled|auto-phase|auto-remote|auto-reset|auto-reset_async|auto-rflimit|auto-rflimit_enabled|auto-self_test|auto-self_test_async|auto-service_request_enabled|auto-software_handshake|auto-status_byte|auto-time|auto-trigger|auto-trigger_async|auto-wait|auto-wait_async,amplitude|clear_status|clear_status_async|event_status_enabled|event_status_reg|expose|expose_async|fitted_options|frequency|frequency_standard|idn|local_lockout|offset|output_enabled|phase|remote|reset|reset_async|rflimit|rflimit_enabled|self_test|self_test_async|service_request_enabled|software_handshake|status_byte|time|trigger|trigger_async|wait|wait_async,37,Uni-Lab-OS/community_drivers/a2023a/info.txt
a2_d_4_ch__isolated_adc,a2_d_4_ch__isolated_adc,A/D 4通道隔离ADC模块是由广州尚准仪器设备股份有限公司生产的专业实验设备。,表征设备,表征设备(experimental_step),10,auto-calibrate_voltage|auto-get_calibration|auto-get_num_channels|auto-get_rs485_addr|auto-measure_voltage|auto-measure_voltage_at_adc|auto-reset|auto-reset_calibration|auto-save_calibration|auto-set_led,calibrate_voltage|get_calibration|get_num_channels|get_rs485_addr|measure_voltage|measure_voltage_at_adc|reset|reset_calibration|save_calibration|set_led,12,Uni-Lab-OS/community_drivers/a2_d_4_ch__isolated_adc/info.txt
